,lower,upper,acc,f1,auROC,mAP
0,0.0,0.0,0.9563661597265759,0.9183748265042407,0.9886189091618416,0.9843477299621255
1,0.5,1.0,-0.000377929904746499,-5.094620831147534e-05,0.0002599476179734328,0.00035707496394254967
2,0.5,1.1,0.0005732147551924527,0.0012681043498781186,0.0002573886434542594,0.0003705363868820033
3,0.5,1.2,0.0011786609905555245,0.0020014768616049006,0.00025082289204958474,0.00037810799759530056
4,0.5,1.3,0.0017493477865189178,0.0026971107668017913,0.0002419315768030783,0.00038167679236678076
5,0.5,1.4,0.002051438914393189,0.002926342806612192,0.00023171370373398226,0.00038244963131717213
6,0.5,1.5,0.002266947438671729,0.0030104642398695036,0.00022080583449812785,0.0003812950619519473
7,0.6,1.0,-0.00018201306449328047,0.00017277609546884065,0.0002471481196717473,0.00031305228406774965
8,0.6,1.1,0.000633253786882948,0.0012518937131120733,0.00025711005904138773,0.00033934099296883957
9,0.6,1.2,0.0012608196655005122,0.0020291429095714575,0.0002599476179734328,0.00035707496394254967
10,0.6,1.3,0.0017423958986390042,0.0025633947399221757,0.00025814635697407606,0.0003687679481035877
11,0.6,1.4,0.0020059356482698965,0.002726033782425641,0.00025334828386935904,0.0003761131045662003
12,0.6,1.5,0.002253043662911791,0.0028697774575248136,0.00024659455914299855,0.0003802953021994071
13,0.7,1.0,-0.00013966974740631244,0.0001180993035281297,0.00021199335600829983,0.00025252246393769884
14,0.7,1.1,0.0007204683802859435,0.0012854612903986373,0.00023678205722577061,0.0002927777935424203
15,0.7,1.2,0.0013006350233584207,0.0019822492602167285,0.00025092636078760666,0.00032163024927567285
16,0.7,1.3,0.001710796408275539,0.0023863724641677297,0.0002578755205140393,0.00034231776326265617
17,0.7,1.4,0.0019869759540518395,0.0025749564909298694,0.0002599476179734328,0.00035707496394254967
18,0.7,1.5,0.0021949006006430904,0.002649500108570235,0.0002586292653193878,0.0003674007753726727
19,0.8,1.0,-8.342265455940634e-05,9.667022396442349e-05,0.00015752155418136127,0.00017868801917753085
20,0.8,1.1,0.0007906192488927877,0.0012942800336424032,0.00019895311098272472,0.00023360231429037093
21,0.8,1.2,0.0012677715533804257,0.0018000751969069473,0.00022600418965568192,0.00027432001729066346
22,0.8,1.3,0.0016551813052358977,0.0021624141498558513,0.00024310601978405622,0.00030471560959344224
23,0.8,1.4,0.0019484245758084606,0.0023866723226609876,0.0002532313684586729,0.0003274508593769099
24,0.8,1.5,0.0021462373854834738,0.002443741074867223,0.00025836532622580677,0.0003444482993693043
25,0.9,1.0,-1.706372479626239e-05,8.982663793166701e-05,8.615638993292318e-05,9.390478446302808e-05
26,0.9,1.1,0.0007647076667948172,0.0011221602107207573,0.00014573943702755887,0.00016403009769161425
27,0.9,1.2,0.0012071005318826655,0.001570032136400723,0.0001870344510953581,0.00021711999875717591
28,0.9,1.3,0.0016216858454507488,0.0019842024116759616,0.00021541210406705869,0.00025768036607176636
29,0.9,1.4,0.001894705442190614,0.0021771856792918154,0.0002346293188610904,0.000288930529940723
30,0.9,1.5,0.002084302384371184,0.002225933382621559,0.0002471481196717473,0.00031305228406774965
